id,text,keyword,aspect,machine,human,label,
,MSFT_q4_2018.txt,And our commercial cloud business surpassed more than $23 billion in revenue for the year with gross margin expanding to 57%.,['cloud'],['Cloud computing'],Past,Past,0
,MSFT_q4_2018.txt,"I shared our vision for the intelligent cloud and intelligent edge a little over a year ago, a vision that is now quickly becoming reality and impacting every customer in every industry.",['cloud'],['Cloud computing'],Past,Past,0
,MSFT_q4_2018.txt,"We reorganized our engineering teams to break free of the categories of the past and better align with the emerging tech stack from silicon to AI to experiences, to better serve the needs of our customers today and long into the future.",['AI'],['AI'],Past,Past,0
,MSFT_q4_2018.txt,"We reoriented our sales and marketing teams, adding industry and technical expertise to partner more deeply with our customers on their digital transformation journeys.","['transformation', 'digital transformation']",['Practices'],Past,Past,0
,MSFT_q4_2018.txt,"And, most importantly, we drove innovation to deliver differentiated value across the cloud and the edge.","['cloud', 'the cloud']",['Cloud computing'],Past,Past,0
,MSFT_q4_2018.txt,"Microsoft 365 is now a multi-billion-dollar business that gives our customers a path to the cloud and broadens our reach with new and underpenetrated markets, including more than 2 billion first-line workers, and industry-specific workflows.","['cloud', 'the cloud']",['Cloud computing'],Pres,Pres,1
,MSFT_q4_2018.txt,"Across Microsoft 365, we are helping people be more productive, collaborate and stay secure on any device with AI infused experiences they use every day, and it’s driving usage.",['AI'],['AI'],Pres,Pres,1
,MSFT_q4_2018.txt,Outlook mobile is being used on more than 100 million iOS and Android devices.,['mobile'],['Mobile'],Pres,Pres,1
,MSFT_q4_2018.txt,"This strong engagement is driven by quality of the feed, video, messaging and acceleration of mobile usage, with mobile sessions up more than 55% year-over-year.",['mobile'],['Mobile'],Pres,Pres,1
,MSFT_q4_2018.txt,We will continue to invest to make LinkedIn the essential platform to connect the world’s professionals and help them achieve more with experiences powered by LinkedIn and Microsoft graphs.,['platform'],['Digital Product'],Fut,Pres,1
,MSFT_q4_2018.txt,"It’s gaining traction as our third commercial cloud growth engine, with revenue up 61% year-over-year.",['cloud'],['Cloud computing'],Pres,Pres,1
,MSFT_q4_2018.txt,"Our investments in Power BI, PowerApps and Flow as the new analytics and application platform are gaining significant momentum with ISVs and enterprise customers.","['platform', 'analytics']","['Digital Product', 'Analytics']",Pres,Pres,1
,MSFT_q4_2018.txt,"Azure is the only hyper scale cloud that extends to the edge across identity, data, application platform, security and management, and our differentiated architectural approach drove another strong quarter of growth.",['cloud'],['Cloud computing'],Pres,Pres,1
,MSFT_q4_2018.txt,"We expanded our global datacenter footprint to 54 regions, more than any other cloud provider, and with the most comprehensive compliance coverage in the industry.",['cloud'],['Cloud computing'],Past,Past,0
,MSFT_q4_2018.txt,"We added nearly 500 new Azure capabilities in the last year alone, focused on both existing workloads and new workloads such as IoT and AI at the Edge.","['AI', 'IoT']","['AI', 'IoT']",Past,Past,0
,MSFT_q4_2018.txt,"We are democratizing data science and AI with Azure Cognitive Services, Azure ML, and data services such as Azure Cosmos DB to help organizations of all sizes convert their data into insights and experiences for competitive advantage.","['data science', 'AI']","['Analytics', 'AI']",Pres,Pres,1
,MSFT_q4_2018.txt,"The world’s leading companies are running on Azure, and I’m especially proud that Walmart chose Azure and Microsoft 365 to accelerate its digital transformation for their associates and customers.","['transformation', 'digital transformation']",['Practices'],Pres,Pres,1
,MSFT_q4_2018.txt,"We are investing aggressively in content, community and cloud services across every endpoint to expand usage and deepen engagement with gamers.",['cloud'],['Cloud computing'],Pres,Pres,1
,MSFT_q4_2018.txt,"We have united the world’s leading professional cloud with the world’s leading professional network and proved that we have an integration model that works, enabling LinkedIn to accelerate growth while retaining its member-first ethos.",['cloud'],['Cloud computing'],Pres,Pres,1
,MSFT_q4_2018.txt,"With GitHub, we recognized the increasingly vital role that developers play in value creation and growth in the era of the intelligent cloud and intelligent edge.",['cloud'],['Cloud computing'],Past,Past,0
,MSFT_q4_2018.txt,"PlayFab accelerates our vision to build a world-class cloud platform for the gaming industry across mobile, PC and console.","['platform', 'cloud']","['Digital Product', 'Cloud computing']",Pres,Pres,1
,MSFT_q4_2018.txt,Our investments and business model are fundamentally aligned with our customers’ long-term interests and success.,['business model'],['Digital Business Model'],Pres,Pres,1
,MSFT_q4_2018.txt,Customer commitment to our cloud platform continues to increase.,"['platform', 'cloud']","['Digital Product', 'Cloud computing']",Pres,Pres,1
,MSFT_q4_2018.txt,"In FY18, we closed a record number of multi-million-dollar commercial cloud agreements and more than doubled the number of $10 million-plus Azure agreements.",['cloud'],['Cloud computing'],Past,Past,0
,MSFT_q4_2018.txt,"Commercial unearned revenue was $29 billion, growing 23% and 21% in constant currency, significantly higher than anticipated due to stronger than expected cloud billings.",['cloud'],['Cloud computing'],Past,Past,0
,MSFT_q4_2018.txt,"Our commercial cloud revenue was $6.9 billion, growing 53% and 50% in constant currency with strong performance across the U.S., Western Europe, and the UK.",['cloud'],['Cloud computing'],Past,Past,0
,MSFT_q4_2018.txt,Commercial cloud gross margin percentage increased 6 points to 58%.,['cloud'],['Cloud computing'],Past,Past,0
,MSFT_q4_2018.txt,"In line with our commitment at the beginning of the year, we improved the gross margin percentage in each cloud service, with Azure seeing the most significant improvement.",['cloud'],['Cloud computing'],Past,Past,0
,MSFT_q4_2018.txt,"At the segment level, FX had a positive impact of 3 points on Productivity and Business Processes and Intelligent Cloud and 1 point on More Personal Computing revenue.",['cloud'],['Cloud computing'],Past,Past,0
